"","State","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1","Total",1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031
"2","Alabama",4277,3393,3877,3891,3740,4063,3873,3848,3685,3928
"3","Alaska",1554,1617,1534,1608,1703,1799,1612,1460,1505,1572
"4","Arizona",21529,17528,20638,20997,18243,20333,18434,16097,16908,17997
"5","Arkansas",2924,2722,2997,2942,2684,2874,2795,2900,2793,2814
"6","California",264667,228941,238444,227876,208446,210591,196622,191806,198379,209568
"7","Colorado",12713,11039,12741,12841,12489,13547,13327,11108,10872,12661
"8","Connecticut",18697,12932,12190,13632,12222,12577,12237,10985,11252,11102
"9","Delaware",2263,2085,2295,2184,2198,2355,2208,2325,2085,2168
"10","DistrictofColumbia",3775,2541,2652,2934,2897,2724,2811,2981,3169,2976
"11","Florida",155986,126277,133445,127006,107276,109229,103047,102939,109310,118873
"12","Georgia",32202,27353,27769,28396,24833,27015,26134,24387,23792,25919
"13","Guam",1716,1438,1305,1427,1383,1313,1430,1210,1089,1249
"14","Hawaii",7499,7236,6572,6929,7037,7296,6764,6226,5741,6513
"15","Idaho",2377,2044,2766,3120,2556,2602,2428,2120,2202,2531
"16","Illinois",52452,41971,42723,41889,37909,38325,38373,35988,36535,40482
"17","Indiana",8122,6639,8028,9087,8539,8262,8359,7668,8008,8554
"18","Iowa",4085,3103,3696,3963,4245,4624,4679,4105,4225,5047
"19","Kansas",4277,4141,5344,5319,5501,5086,4980,5000,4861,5419
"20","Kentucky",5504,4340,5315,5260,4930,5403,5243,5159,5634,5647
"21","Louisiana",2693,3475,4011,4299,4397,4226,4454,4355,4382,4696
"22","Maine",1717,1488,1617,1675,1349,1467,1497,1208,1382,1464
"23","Maryland",30199,24255,27062,26722,26450,25778,24971,25361,24787,22627
"24","Massachusetts",35558,30555,30369,32607,31069,32236,31392,29482,29776,28535
"25","Michigan",20907,18727,17947,18919,18579,18347,17494,16952,18185,18049
"26","Minnesota",18249,13814,15832,18020,12408,12389,12999,12781,13764,14737
"27","Mississippi",1480,1593,1679,1652,1709,1666,1583,1716,1587,1587
"28","Missouri",6852,6459,7078,7142,7151,7048,6635,6345,6419,6731
"29","Montana",505,575,543,553,457,511,503,445,451,519
"30","Nebraska",3795,3066,3668,3989,4400,4535,4384,4141,4442,5234
"31","Nevada",14713,12308,11768,12334,10803,10449,10343,9886,10089,11053
"32","NewHampshire",2987,2272,2466,2483,2556,2478,2466,2227,2103,2159
"33","NewJersey",65931,55834,53997,58879,56920,55547,50790,53082,51609,49801
"34","NewMexico",3805,3112,3509,3887,3528,3767,3714,3664,3359,3626
"35","NewYork",180157,136739,143679,150722,147999,148426,149505,133601,141406,130010
"36","NorthCarolina",18987,15469,15174,18562,16112,17571,17487,16798,17152,18495
"37","NorthDakota",649,496,662,843,1058,948,1144,1234,1351,1600
"38","Ohio",16585,14078,14595,15375,13585,13857,13948,13819,14641,16050
"39","Oklahoma",4590,4269,4306,5007,4627,4503,4646,4648,4441,4880
"40","Oregon",9188,7905,9028,9026,7997,7694,7791,7171,7379,8655
"41","Pennsylvania",25950,22811,23646,24105,24130,25397,25032,24720,23944,24969
"42","PuertoRico",4093,2917,3287,4084,4283,3288,3106,2942,2709,3322
"43","RhodeIsland",4778,3354,3735,4156,4027,3681,3798,3337,3297,3610
"44","SouthCarolina",5291,4788,4241,4747,4401,4216,3924,4266,4233,4417
"45","SouthDakota",1013,668,773,1271,987,1337,1521,1231,1108,1265
"46","Tennessee",10037,8942,8348,9042,8156,8279,8573,8380,8507,8833
"47","Texas",89027,77278,89811,95384,87750,94481,95557,92674,95295,99727
"48","Utah",5749,5168,6087,6466,6085,6426,5932,5503,6166,6883
"49","Vermont",894,791,771,792,867,943,877,838,791,792
"50","Virginia",38483,29682,30257,29825,28607,27767,28227,27861,28477,27622
"51","Washington",23803,22657,23170,27562,22283,23789,23060,22994,22710,24765
"52","WestVirginia",763,721,798,734,729,830,779,760,783,786
"53","Wisconsin",8339,7381,7306,6727,6189,6245,6049,5918,5997,6655
"54","Wyoming",376,380,458,429,452,420,427,522,414,539
"55","Other",1366,1047,1117,1495,1694,1480,1667,1379,1336,1116
"56","Unknown",1,1,NA,2,NA,NA,NA,NA,1,202
